label,pattern,attr,replace,rank_id,abbrev,level,dwc
kingdom_rank,kingdom,lower,kingdom,10,,higher,kingdom
subkingdom_rank,subkingdom,lower,subkingdom,20,,higher,subkingdom
infrakingdom_rank,infrakingdom,lower,infrakingdom,25,,higher,infrakingdom
superdivision_rank,superdivision,lower,superdivision,27,,higher,superdivision
division_rank,division,lower,division,30,,higher,division
division_rank,phylum,lower,division,30,,higher,division
subdivision_rank,subdivision,lower,subdivision,40,,higher,subdivision
subdivision_rank,subphylum,lower,subdivision,40,,higher,subdivision
infradivision_rank,infradivision,lower,infradivision,45,,higher,infradivision
superclass_rank,superclass,lower,superclass,50,,higher,superclass
class_rank,class,lower,class,60,,higher,class
subclass_rank,subclass,lower,subclass,70,,higher,subclass
infraclass_rank,infraclass,lower,infraclass,80,,higher,infraclass
superorder_rank,superorder,lower,superorder,90,,higher,superorder
order_rank,order,lower,order,100,,higher,order
suborder_rank,suborder,lower,suborder,110,,higher,suborder
family_rank,family,lower,family,140,,higher,family
subfamily_rank,subfamily,lower,subfamily,150,,higher,subfamily
tribe_rank,tribe,lower,tribe,160,,higher,tribe
tribe_rank,tribes,lower,tribe,160,,higher,tribe
subtribe_rank,subtribe,lower,subtribe,170,,higher,subtribe
subtribe_rank,subtribes,lower,subtribe,170,,higher,subtribe
genus_rank,genus,lower,genus,180,,higher,genus
subgenus_rank,subg.,lower,subgenus,190,subg.,higher,subgenus
subgenus_rank,subgenus,lower,subgenus,190,subg.,higher,subgenus
section_rank,sect,lower,section,200,sect.,higher,section
section_rank,sect.,lower,section,200,sect.,higher,section
section_rank,section,lower,section,200,sect.,higher,section
subsection_rank,subsect,lower,subsection,210,subsect.,higher,subsection
subsection_rank,subsect.,lower,subsection,210,subsect.,higher,subsection
subsection_rank,subsection,lower,subsection,210,subsect.,higher,subsection
series_rank,ser,lower,series,212,ser.,higher,series
series_rank,ser.,lower,series,212,ser.,higher,series
series_rank,series,lower,series,212,ser.,higher,series
subseries_rank,subser,lower,subseries,215,subser.,higher,subseries
subseries_rank,subser.,lower,subseries,215,subser.,higher,subseries
subseries_rank,subseries,lower,subseries,215,subser.,higher,subseries
species_rank,sp,lower,species,220,sp.,species,specificEpithet
species_rank,sp,lower,species,220,sp.,species,specificEpithet
species_rank,sp.,lower,species,220,sp.,species,specificEpithet
species_rank,sp.,lower,species,220,sp.,species,specificEpithet
species_rank,species,lower,species,220,sp.,species,specificEpithet
subspecies_rank,ssp,lower,subspecies,230,subsp.,lower,infraspecificEpithet
subspecies_rank,ssp.,lower,subspecies,230,subsp.,lower,infraspecificEpithet
subspecies_rank,subsp,lower,subspecies,230,subsp.,lower,infraspecificEpithet
subspecies_rank,subsp.,lower,subspecies,230,subsp.,lower,infraspecificEpithet
subspecies_rank,subspecies,lower,subspecies,230,subsp.,lower,infraspecificEpithet
variety_rank,v,text,variety,240,var.,lower,infraspecificEpithet
variety_rank,v.,text,variety,240,var.,lower,infraspecificEpithet
variety_rank,var,lower,variety,240,var.,lower,infraspecificEpithet
variety_rank,var.,lower,variety,240,var.,lower,infraspecificEpithet
variety_rank,variant,lower,variety,240,var.,lower,infraspecificEpithet
variety_rank,varietas,lower,variety,240,var.,lower,infraspecificEpithet
variety_rank,variety,lower,variety,240,var.,lower,infraspecificEpithet
subvariety_rank,subvar,lower,subvariety,250,subvar.,lower,infraspecificEpithet
subvariety_rank,subvar.,lower,subvariety,250,subvar.,lower,infraspecificEpithet
subvariety_rank,subvariety,lower,subvariety,250,subvar.,lower,infraspecificEpithet
form_rank,f,text,form,260,f.,lower,infraspecificEpithet
form_rank,f.,text,form,260,f.,lower,infraspecificEpithet
form_rank,form,lower,form,260,f.,lower,infraspecificEpithet
form_rank,forma,lower,form,260,f.,lower,infraspecificEpithet
subform_rank,subf,lower,subform,270,subf.,lower,infraspecificEpithet
subform_rank,subf.,lower,subform,270,subf.,lower,infraspecificEpithet
subform_rank,subform,lower,subform,270,subf.,lower,infraspecificEpithet
